Drehzahl;Kurbelwinkel;P_ZYL1;P_ZYL2;P_ZYL3;Drehmoment;Absolutverbrauch;Angesaugte Luftmasse;O2 roh;CO roh;CO2 roh;NOx roh;HC3 roh;Lambda;Temp Kühlm.E;Temp Kühlm.A;Temp Oel;Temp Ansaugl. nach Verd.;Temp Ansaugluft Saugrohr;Temp Abgas vor Turbine;P Saugrohr;P Abg. vor Turb.;ZZP
1600;-277;1.162;1.102;1.021;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-276;1.162;1.099;1.021;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-275;1.162;1.098;1.024;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-274;1.162;1.102;1.025;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-273;1.162;1.099;1.026;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-272;1.164;1.097;1.023;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-271;1.16;1.067;1.006;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-270;1.157;1.104;1.032;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-269;1.155;1.101;1.028;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-268;1.151;1.092;1.031;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-267;1.151;1.082;1.023;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-266;1.153;1.09;1.028;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-265;1.15;1.084;1.026;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-264;1.146;1.09;1.025;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-263;1.141;1.086;1.028;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-262;1.144;1.089;1.023;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-261;1.142;1.085;1.025;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-260;1.146;1.092;1.025;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-259;1.145;1.09;1.031;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-258;1.141;1.09;1.027;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-257;1.137;1.089;1.033;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-256;1.14;1.087;1.032;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-255;1.134;1.085;1.035;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-254;1.14;1.089;1.034;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-253;1.145;1.092;1.036;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
1600;-252;1.144;1.093;1.038;89.6;3.82;54.6789;0.807;0.71;13.9564;3319.4;1077.33;0.999158;84;88;76.75;53;30.73;674.18;1077;1194.77;8
